name,category,subcategory,brand,description,image_url,tags,status
"BLF3100 – Ndricues LED per rruge 100W, kundraujit, me panel, 6500K 2800Lm",Elektrik,Ndriçim LED,,,,elektrik,active
"BLF3600 – Ndricues LED per rruge 300W, kundraujit, me panel, 6500K 1000Lm",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED me prerje cdo 5cm/120LED/meter , 220V, 6500K, 100M/TOP",Elektrik,Ndriçim LED,,,,elektrik,active
"Shirit LED me prerje cdo 5cm/120LED/meter , 220V, 4000K, 100M/TOP",Elektrik,Ndriçim LED,,,,elektrik,active
"BLF1040 – Ndricues kantieri LED kundraujit, 300W 4000K 24000Lm 120°",Elektrik,Ndriçim LED,,,,elektrik,active
"ED-500 – Kabull interneti CAT6 UTP,",Elektrik,,,,,elektrik,active
"BLF3550 – Ndricues LED per rruge 150W, kundraujit, me panel, 6500K 750Lm",Elektrik,Ndriçim LED,,,,elektrik,active
601108-Baladeze metalike me 4 priza 40m 3×2.5mm,Elektrik,Çelësa & Prize,,,,elektrik,active
5910041 – Baladeze me 4 priza 40m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
5940041 – Baladeze me 4 priza 40m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
Baladeze metalike me 4 priza 40m 3×1.5mm – 601209,Elektrik,Çelësa & Prize,,,,elektrik,active
"ED-150 – Prozhektor 300W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
5940040 – Baladeze me 4 priza 40m 3×1.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
"BMI1010 – Inverter 12V-220V 1000W , me porte USB 2.1 te perfshire",Elektrik,,,,,elektrik,active
5910031 – Baladeze me 4 priza 30m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
5940031 – Baladeze me 4 priza 30m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
"Baladeze me 4 priza me kapak 25m 3×2.5mm i gomuar, IP44 – 601245",Elektrik,Çelësa & Prize,,,,elektrik,active
601083 – Baladeze me 4 priza 50m 3×1.5,Elektrik,Çelësa & Prize,,,,elektrik,active
5910040 – Baladeze me 4 priza 40m 3×1.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
"Baladeze metalik me 4 priza me kapak 20m 3×2.5mm i gomuar, IP44 – 601248",Elektrik,Çelësa & Prize,,,,elektrik,active
"657800-1 – Ndricues Linear LED me varje 90cm, 36W, 4000K, 4800Lm",Elektrik,Ndriçim LED,,,,elektrik,active
"BLF4100 – Ndricues kopeshti me panel, 13x78cm, 200Lm, IP65",Elektrik,,,,,elektrik,active
Baladeze me 4 priza 25m 3×2.5mm plastike – 601202,Elektrik,Çelësa & Prize,,,,elektrik,active
5940030 – Baladeze me 4 priza 30m 3×1.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
5910030 – Baladeze me 4 priza 30m 3×1.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
Baladeze me 4 priza 20m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,,elektrik,active
"ED-145 – Prozhektor 200W, 6500 K",Elektrik,Spot & Lustër,,,,elektrik,active
5910021 – Baladeze me 4 priza 20m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,,elektrik,active
"Baladeze metalik me 4 priza me kapak 20m 3×1.5mm i gomuar, IP44 – 601252",Elektrik,Çelësa & Prize,,,,elektrik,active
