name,category,subcategory,brand,description,image_url,tags,status
"Ndricues LED per rruge 100W, kundraujit, me panel, 6500K 2800Lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310361/nearbuy/products/ndricues_led_per_rruge_100w__kundraujit__me_p_0.jpg,elektrik,active
"Ndricues LED per rruge 300W, kundraujit, me panel, 6500K 1000Lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310366/nearbuy/products/ndricues_led_per_rruge_300w__kundraujit__me_p_1.jpg,elektrik,active
"Shirit LED me prerje cdo 5cm/120LED/meter , 220V, 6500K, 100M/TOP",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310385/nearbuy/products/shirit_led_me_prerje_cdo_5cm_120led_meter___2_2.jpg,elektrik,active
"Shirit LED me prerje cdo 5cm/120LED/meter , 220V, 4000K, 100M/TOP",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779309105/nearbuy/products/shirit_led_me_prerje_cdo_5cm_120led_meter___220v__.jpg,elektrik,active
"Ndricues kantieri LED kundraujit, 300W 4000K 24000Lm 120°",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310412/nearbuy/products/ndricues_kantieri_led_kundraujit__300w_4000k__4.jpg,elektrik,active
Kabull interneti CAT6 UTP,Elektrik,Kabllo & Tuba,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310418/nearbuy/products/kabull_interneti_cat6_utp_5.png,elektrik,active
"Ndricues LED per rruge 150W, kundraujit, me panel, 6500K 750Lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310424/nearbuy/products/ndricues_led_per_rruge_150w__kundraujit__me_p_6.jpg,elektrik,active
Baladeze metalike me 4 priza 40m 3×2.5mm,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310429/nearbuy/products/baladeze_metalike_me_4_priza_40m_3_2_5mm_7.png,elektrik,active
Baladeze me 4 priza 40m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310435/nearbuy/products/baladeze_me_4_priza_40m_3_2_5mm_kabull_i_zi_m_8.png,elektrik,active
Baladeze me 4 priza 40m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310441/nearbuy/products/baladeze_me_4_priza_40m_3_2_5mm_i_zi_me_mbroj_9.png,elektrik,active
Baladeze metalike me 4 priza 40m 3×1.5mm,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310447/nearbuy/products/baladeze_metalike_me_4_priza_40m_3_1_5mm_10.png,elektrik,active
"Prozhektor 300W, 6500 K",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310455/nearbuy/products/prozhektor_300w__6500_k_11.png,elektrik,active
Baladeze me 4 priza 40m 3×1.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310464/nearbuy/products/baladeze_me_4_priza_40m_3_1_5mm_i_zi_me_mbroj_12.png,elektrik,active
"Inverter 12V-220V 1000W , me porte USB 2.1 te perfshire",Elektrik,Aksesorë Elektrik,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310471/nearbuy/products/inverter_12v_220v_1000w___me_porte_usb_2_1_te_13.jpg,elektrik,active
Baladeze me 4 priza 30m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310476/nearbuy/products/baladeze_me_4_priza_30m_3_2_5mm_kabull_i_zi_m_14.png,elektrik,active
Baladeze me 4 priza 30m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310483/nearbuy/products/baladeze_me_4_priza_30m_3_2_5mm_i_zi_me_mbroj_15.png,elektrik,active
"Baladeze me 4 priza me kapak 25m 3×2.5mm i gomuar, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310490/nearbuy/products/baladeze_me_4_priza_me_kapak_25m_3_2_5mm_i_go_16.png,elektrik,active
Baladeze me 4 priza 50m 3×1.5,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310496/nearbuy/products/baladeze_me_4_priza_50m_3_1_5_17.png,elektrik,active
Baladeze me 4 priza 40m 3×1.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310502/nearbuy/products/baladeze_me_4_priza_40m_3_1_5mm_kabull_i_zi_m_18.png,elektrik,active
"Baladeze metalik me 4 priza me kapak 20m 3×2.5mm i gomuar, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310507/nearbuy/products/baladeze_metalik_me_4_priza_me_kapak_20m_3_2__19.png,elektrik,active
"1 – Ndricues Linear LED me varje 90cm, 36W, 4000K, 4800Lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310514/nearbuy/products/1___ndricues_linear_led_me_varje_90cm__36w__4_20.png,elektrik,active
"Ndricues kopeshti me panel, 13x78cm, 200Lm, IP65",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310520/nearbuy/products/ndricues_kopeshti_me_panel__13x78cm__200lm__i_21.jpg,elektrik,active
Baladeze me 4 priza 25m 3×2.5mm plastike,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310525/nearbuy/products/baladeze_me_4_priza_25m_3_2_5mm_plastike_22.png,elektrik,active
